User,Tweet
jonesytheteachr,"""Disability conversations: The NCCD and distance education"" https://t.co/DwhqDWWxRs #aussieED"
EdTechFam,RT @Teach_Logic: Wondering if TeachLogic microphones can be used with video conferencing apps for Distance Learning? Yes they can! Learn ho…
suptking,RT @MadisonAcademic: ALL Madison Seniors take the ACT on October 18th. Distance Learning Day for 9-11 grades. @JMCSchools @suptking #MAHS h…
gorebitchbuggs,"@triplemacaroni @P30521130P @SamitoFPS this is 100 AA 100 aim window on a (not accurate) hitbox, which is what most console players use

it aims for the "" rez soul"", it's shit at a distance, and you still have to put effort into learning how to hit headshots

if you are losing to that on PC, that's a fat skill issue https://t.co/JJnJZITWQo"
attyjlynchjr,"@dave_tente @kathyprojo @PatrickAnderso_ @projo so one year's results, at the conclusion of a pandemic where distance learning was necessary is a good barometer for you as to how Mckee would do as Governor?  That is seriously some 3 dimensional chess right there."
MooseHall53,@natwalk87 I'm a HS SpEd teacher in Oregon. The things the MS students were supposed to learn during distance learning didn't happen and now these same students are struggling to graduate.
Dagi381,"@AP @nycexpatmom Shame on everybody who kept the schools closed! 

Distance Learning was an absolute joke. 

Looking at you @GovMikeDeWine"
MrDannyBrewer,"@BrianZahnd Healing, forgiving, asking for forgiveness, and learning to keep my distance from abusive faith leaders who lack self awareness and are not trauma informed. God help us all."
Null4Infinity,Authorities in the Kursk region in #Russia bordering #Ukraine are recommending 'distance learning' for school students beginning 13-Oct reported by TASS - Unknown reason as of yet.
cosmiccharming1,"@NGurvits @Theholisticpsyc Learning this at 32. Had to distance myself completely from both of my biological parents. It was the only way I could regain my sanity and finally be true to myself. It hurts, but it motivates me to break the cycle."
IIOAAAB,"More detail on our #MajorAnnouncement about our 💯 #Online program and distance learning options! 

#TDLR #Changes

International Institute of Aesthetic Arts and Beauty 
♥️ Follow us on IG @iioaaab
 📱 Call/Text us (Admissions) - 469.289.2837
✉️ Email us: info@iioaaab.education https://t.co/R78y9E6mvn"
AatuckerAnita,"RT @SSHSHawks: ‼️TAKE NOTE‼️
ALL seniors will take the ACT on 10/18. It will be a distance learning day for grades 9-11. https://t.co/ioD8p…"
startme,"Looking for the best online tools to jumpstart your #teaching or (academic) research? This page has the best Interactive Lessons Apps, Vocabulary sites, Digital Storytelling tools, Note taking apps, or Distance learning apps. And a lot more #edtech!  https://t.co/BxDCpRqewv https://t.co/O4kXqz2aBj"
HunnysNFT,"RT @3L3NFT: Set a reminder for our space with @HunnysNFT!

The Herd will be learning all about this project that’s gone the distance.

Star…"
