User,Tweet,Subjectivity,Polarity,Analysis
jonesytheteachr,"""Disability conversations: The NCCD and distance education""  aussieED",0,0,Neutral
EdTechFam,_Logic: Wondering if TeachLogic microphones can be used with video conferencing apps for Distance Learning? Yes they can! Learn ho…,0,0,Neutral
suptking,: ALL Madison Seniors take the ACT on October 18th. Distance Learning Day for 9-11 grades.   MAHS h…,0,0,Neutral
gorebitchbuggs,"   this is 100 AA 100 aim window on a (not accurate) hitbox, which is what most console players use

it aims for the "" rez soul"", it's shit at a distance, and you still have to put effort into learning how to hit headshots

if you are losing to that on PC, that's a fat skill issue ",1,0,Positive
attyjlynchjr,"_tente  _  so one year's results, at the conclusion of a pandemic where distance learning was necessary is a good barometer for you as to how Mckee would do as Governor?  That is seriously some 3 dimensional chess right there.",1,0,Positive
MooseHall53, I'm a HS SpEd teacher in Oregon. The things the MS students were supposed to learn during distance learning didn't happen and now these same students are struggling to graduate.,0,0,Neutral
Dagi381,"  Shame on everybody who kept the schools closed! 

Distance Learning was an absolute joke. 

Looking at you ",1,0,Positive
MrDannyBrewer," Healing, forgiving, asking for forgiveness, and learning to keep my distance from abusive faith leaders who lack self awareness and are not trauma informed. God help us all.",0,0,Neutral
Null4Infinity,Authorities in the Kursk region in Russia bordering Ukraine are recommending 'distance learning' for school students beginning 13-Oct reported by TASS - Unknown reason as of yet.,1,0,Negative
cosmiccharming1,"  Learning this at 32. Had to distance myself completely from both of my biological parents. It was the only way I could regain my sanity and finally be true to myself. It hurts, but it motivates me to break the cycle.",1,0,Positive
IIOAAAB,"More detail on our MajorAnnouncement about our 💯 Online program and distance learning options! 

TDLR Changes

International Institute of Aesthetic Arts and Beauty 
♥️ Follow us on IG 
 📱 Call/Text us (Admissions) - 469.289.2837
✉️ Email us: info.education ",0,0,Positive
AatuckerAnita,": ‼️TAKE NOTE‼️
ALL seniors will take the ACT on 10/18. It will be a distance learning day for grades 9-11. ",0,0,Neutral
startme,"Looking for the best online tools to jumpstart your teaching or (academic) research? This page has the best Interactive Lessons Apps, Vocabulary sites, Digital Storytelling tools, Note taking apps, or Distance learning apps. And a lot more edtech!   ",0,1,Positive
HunnysNFT,": Set a reminder for our space with !

The Herd will be learning all about this project that’s gone the distance.

Star…",0,0,Neutral
MrEerie,"I’ve been curious about the physical domain of storage media for sometime. Fortunately,  has a class on that! I’m looking forward to receiving the distance learning kit and learning all about data recovery!",1,0,Positive
RoachAugustine,_Wx Try distance learning.,0,0,Neutral
Elitesplanet,: List of Distance Learning Centers in Nigeria [2022 Edition] ,0,0,Neutral
dearest_mariaa,"D,

Just know that, Eagles have remarkable long-distance vision, snakes can smelled by ""tasting the air"" with their highly sensitive tongues and shark can detect small amounts of electricity and vibrations in the water caused by nearby fish. 

Continuesly learning,
M",1,0,Positive
CollegeLifeHak,_Logic: Wondering if TeachLogic microphones can be used with video conferencing apps for Distance Learning? Yes they can! Learn ho…,0,0,Neutral
TouroCalifornia,: REGISTRATION IS STILL OPEN for the National Diabetes Prevention Program Lifestyle Change Program. NationalDPP Fall Sessi…,1,0,Neutral
TouroCalifornia,: REGISTRATION IS STILL OPEN for the National Diabetes Prevention Program Lifestyle Change Program. NationalDPP Fall Sessi…,1,0,Neutral
CliftonJKerr,"Although not all distance learning students have access to university bookstores, academic libraries, or textbook collections, professors may rec",0,0,Neutral
Lil_MissParker,:  We need to learn to live with covid. That doesn't mean ignore it and go back to normal. It means learn to live…,0,0,Negative
