User,Tweet
UUMcampusalert,"Network Outage in INASIS BSN

There is a network outage currently in INASIS BSN. Due to this problem, you are not able to access UUM Email, UUMWiFi, UUM Portal &amp; UUM Online Learning.

We will keep you updated on the situation."
orionastarmoon,"@thecounciltale @BBCBreaking @BBCNews The majority will suffer even kids, losing money, medical equipment unable to work, unable to cook, keep warm, online learning. EVERYTHING will be cut off and 3hrs is a long time when you’re cold, hungry, near death, losing money and behind on education 😤"
akwfalcon1,"@J_Hurstman @RepLisaMcClain As a teacher my assignments, etc were posted online&amp;unit summaries provided at the start of each unit. Parents could always ask questions, etc.Nothing was a https://t.co/gPgiPqJbBD a parent I never felt that I was unaware of what my kids were learning"
Melissa22461016,"@RepLisaMcClain All 50 states have their standards posted online. 

Maybe take personal responsibility and Google what your child is learning."
GreigNicol1,"Timely online opportunity to update learning on clean sport. 
💊 
Relevant to athletes, support and medical staff. #sportsmedicine https://t.co/jCxIvHnhEh"
carolhedgspeth,RT @EdTrustWest: The @CADeptEd is exploring the need for free or low-cost Universal PreKindergarten (UPK) curriculum and related resources…
BeYouEarly,"Be You Connected Communities are online spaces for educators to come together and explore ways to promote positive, inclusive and resilient learning communities. Each community is unique. Read more about them here: https://t.co/eyydJYIdFl #ECAConference https://t.co/E7372wMTtw"
Terraphant,"@slowerissafer @BovyMaltz The students connected via an online learning platform &amp; it sounds like they got each other going &amp; created something of a mob (hence why a group petition). Some classes are just hard. They aren’t a “good” or fun experience but so what? These are adults, not kindergartners."
goldensoulshine,"That's something I picked up from an online course ""Learning How to Learn"". I don't have the notes with me."
HikeBabyHike,"@texasrunnerDFW to be honest...During C19 they had work-share where you unemployed 1 day/week and could still get the $600/week extra. Every dept but ours got it (we had to work all 5 days)
One co-worker stayed home to watch kids (kids online learning) he got the $600 for 4 months came back"
KiftSally,RT @DawnGilmore9: Our @ODLAAorg President @DrJay_Cohen in @KiftSally ‘s CMM T&amp;L series on why videos in online learning should be designed…
ejs712,"#dosenlife This is 1 of hardest assignments I’ve ever done so far.Had to make interactive learning video,microsite,&amp; learning content in Metaverse🤣For this university lecturers online learning certification by the Ministry of Education,I made them for International HR Management https://t.co/H5gWnxnFO2"
cmu_nirajan,"RT @thedavescience: freeCodeCamp is the best online course platform to start coding in Python.

The best part?

Everything is free on YouTu…"
TheFakeZwoG,"@TruthisViolence @ChristinaPushaw I do think there’s an entire generation that got messed up due to the ease of access to sexual material online. ED amongst young adult men is higher now than ever before, with online porn being the main cause

Learning for themselves, online, is not a good idea"
Jo_BootsBoots,RT @CTVReginaLive: Sask. to centralize online learning for 2023-24 school year https://t.co/GbKaYbLXqq
laurens_online,"RT @laurens_online: The fastest way to learn how to make more money is by learning from people who are making a lot of money

Not by readin…"
iamjudeoseh,"RT @MentorWebDev: Educate yourself Online for Free

1. Youtube
2. W3School
3. Coursera
4. Udemy
5. MDN
6. SkillShare
7. Edx
8. Udacity
9. L…"
mccrickerd,"*just* understood that zoom school for many students would have involved lots of muted microphones &amp; off cameras &amp; students doing who knows what

I'm *profoundly* slow.

I'd only thought of how difficult online learning can be when everyone's doing their best.

profoundly slow."
Shabbychicforme,"RT @mcwilsonky: That's For You Or For Your Muslim Friends &amp; Neighbors Looking For Qur'an, Tajweed, Arabic Online Courses.
https://t.co/vad0…"
CodeWithTwitchi,"RT @uthemesdesign: EduVibe - Online Learning React Education Template
https://t.co/6vJVeaZ2zr

#business #classes #clean #corporate #course…"
AmandaYuill,"RT @PembrokePublish: Get everything you need on reading to write, writing to read, and fostering a love of both in our new #BOTM, @larryrea…"
BrknMan,@Tom575935021 @MingleDandy @MartinBrampton @nellslad @Royalacresrod @lleopard11 @OffGridTech_net @KeillerDon @freddie07068768 @IngersolRobert @Sasha67Oz @markp1950 @johnson_wrjohn1 @mike_maric @JohnPisulaMBA @Shadowzerg @Tark4Real @nick_advice @LuboTalks @LorraineAllans1 @GreyTash @2still_learning @cjtjgeol @IanDJbrown2 @weberj502 @MikeDel21893959 @ocschwar @TremmelSteve @rfeynmansBongos @CCross1776 @C0RRECT1ON @JsharkJill @WernerReinhard5 @IanHugh07940666 @LofayPeter @Tcaddy5 @Galileo62303273 @ianbrow97534170 @TWTThisIsNow @ben8beans @ina_warrior @DawnTJ90 @jasoncloninger @EasySimon @MusicFrom90 @HenrikHindby @Stephen90045069 All my bills are online.  No need to save them.
javascriptd,"RT @uthemesdesign: EduVibe - Online Learning React Education Template
https://t.co/6vJVeaZ2zr

#business #classes #clean #corporate #course…"
KirkwoodSmart,"RT @APA_Style: FAQ: How do you cite PowerPoint slides? 
A: Use the template on p. 342 &amp; Example 102 in the #7thEdition #APAStyle Publicatio…"
marewrew_m,"RT @ikongallery: Event: Eiko Soga, Artist and Researcher at The Ruskin School of Art and @MarenkaOdlum, Research Associate @Pitt_Rivers, sh…"
cwconbot,Ourselves Online' The Impact of Cyberspace The Discourse in the Future of Combining Service Learning? Gaming Work Students
Preciousmbat,@ASUU_NEWS I know it will continue... Rather than sit and fold your arms you better start learning ways to make money online
StAlbertLibrary,"Want to be excited to go into work each day? This online course and thousands more are free with your Library card on LinkedIn Learning. https://t.co/4I6vlOV8A9
#sapljobsupports https://t.co/knCwAPVWfN"
greatone718,"RT @FullSail: Full Sail's education is delivered via immersive teaching methods, both on campus as well as through our online learning envi…"
PlungingtonL,RT @LearningDisEng: Do you have a learning disability? Are you from a minority ethnic background? Would you share your experiences to help…
MAS4America,"@CreasonJana @nyuniversity Lockdowns harmed college students, teachers refused to return in person. Students learning from youtube, teachers in pj’s, drinking alcohol during class, etc. Organic chemistry without a lab? I would have dropped the class when it went online. The consequences of low expectations"
TheHelpGroup,"Code your own path at STEM3 Academy - offering a STEM-based education for K-12 students with social and learning differences, including ASD. Learn more about rolling admissions at the next online open house: https://t.co/ixdmDtT813. https://t.co/T41u8xR6nK"
ShannahKH,"RT @FullSail: Full Sail's education is delivered via immersive teaching methods, both on campus as well as through our online learning envi…"
x19ajustice,"RT @MentorWebDev: Educate yourself Online for Free

1. Youtube
2. W3School
3. Coursera
4. Udemy
5. MDN
6. SkillShare
7. Edx
8. Udacity
9. L…"
SignedKJV,"25 mins into an online course and realized I wasn't learning. 

Is this old age?
Also, my attention span is currently non-existent."
OokyPumpkussy,RT @oknolisten: please stop pretending like cartoons are a substitute for public education. kids should not be learning only from youtube o…
FrDsign,Free online e-learning modules on sport for development and safeguarding in sport | https://t.co/tRK3nRB3Cb - https://t.co/tRK3nRB3Cb https://t.co/JH0p2YGlOp
FullSail,"Full Sail's education is delivered via immersive teaching methods, both on campus as well as through our online learning environment, to prepare students for careers in entertainment, media, arts, and technology. Classes start October 24th.

Request info: https://t.co/pRyrMaquBT https://t.co/4scQ2amIKh"
MLE_Online,@1lenore I kind of wish I grew up in the era of learning typing on a typewriter. They're just so much more tactiley better
unescobangkok,RT @unescobangkok: 📚 Young people’s #RightToEducation can only be realized in learning environments free from HIV-related stigma &amp; discrimi…
widsteam,"Performance-based Learning Framework, a free WIDS online course and badge! Learn how the principles of performance-based learning can be applied to learning and assessment. Register any time! https://t.co/IBux4P0oIv https://t.co/wH5I2EFyvT"
ReadTechHere,"RT @byLilyV: #FEATURED #COURSES
Complete #Python #Developer in 2022: Zero to Mastery
How to become a #Python3 Developer and get hired
Build…"
annikawilliams_,"- telling our students upfront that we will make sure they get their content and attendance mark through online learning if they're sick, and then following through
I'm sure there's more possibilities, but I think it's important that as TAs we use the power we have to care 3/"
BotFemale,"RT @byLilyV: #FEATURED #COURSES
Complete #Python #Developer in 2022: Zero to Mastery
How to become a #Python3 Developer and get hired
Build…"
PythonBot_By_PM,"RT @byLilyV: #FEATURED #COURSES
Complete #Python #Developer in 2022: Zero to Mastery
How to become a #Python3 Developer and get hired
Build…"
XeronBot,"RT @byLilyV: #FEATURED #COURSES
Complete #Python #Developer in 2022: Zero to Mastery
How to become a #Python3 Developer and get hired
Build…"
byLilyV,"#FEATURED #COURSES
Complete #Python #Developer in 2022: Zero to Mastery
How to become a #Python3 Developer and get hired
Build 12+ projects
learn #Web #Development
#Machine #Learning + more
https://t.co/vRkg9EK8Sw
#CodeNewbies #100DaysOfCode #webdevelopment #WomenWhoCode #online https://t.co/YnGYDFD0YM"
nami_evolving,"RT @thedavescience: freeCodeCamp is the best online course platform to start coding in Python.

The best part?

Everything is free on YouTu…"
david_darmofal,"RT @rebeccakreitzer: We made a NEW site to make learning how to vote in NC easy. There is a lot of info online but dense, info-filled sites…"
IT_Kristana,"Now that he's in the city, he has access to constant electricity, an effective communication network, necessary social amenities, and a conducive learning environment. In August 2021, Kwame completed his studies and had his commencement ceremony online."
IT_Kristana,"Ordering a laptop, paying for internet connectivity to the Internet Service Providers (ISP) and mastering the learning platforms weren't enough. Kwame would need a consistent power supply and an organized space to study online and complete his assessments."
gr_rusty,"With an ongoing staff retention crisis, it’s never been more critical to maximise the effectiveness of L&amp;D.

Register for our upcoming LinkedIn Live to learn how a customised online learning library can keep staff engaged. 

https://t.co/VYtjJthiY3 https://t.co/VYtjJthiY3"
egojunk1,"RT @rebeccakreitzer: We made a NEW site to make learning how to vote in NC easy. There is a lot of info online but dense, info-filled sites…"
MarcTennant,It was just $175 on eBay.  Now we can have meetings with 4 microphones and online.  Manage ourselves.  Great little learning. How to do audio. https://t.co/wGYxsQ5Jdi
LibKot,"ProteomicsML: An Online Platform for Community-Curated Datasets and Tutorials for Machine Learning in Proteomics
https://t.co/FJjn6R4R78 #maskotlib"
MCrowderMeyer,"RT @rebeccakreitzer: We made a NEW site to make learning how to vote in NC easy. There is a lot of info online but dense, info-filled sites…"
ElderWolfGames,"RT @unitygames: ✨ Get ready for it – #Unite2022 is happening in a month and free for everyone ✨

On November 1, join fellow game developers…"
sleevine,"RT @palliumcanada: We're thrilled to announce the launch of LEAP Carers; a free, online self-learning course that provides important inform…"
theradi8ors,RT @yagayagafred: Psyched to have my https://t.co/6mwDohAQaC shorthand revision project featured by @journalismnews. (Big thank you to @Mar…
headspin_io,"That’s a wrap on #STARWEST 2022! ⭐️ Team HeadSpin had an incredible time learning about the latest from the greatest in software testing and want to thank all who visited our booth in person and online.
 
Find us at our next event: https://t.co/amQE7EOKIR https://t.co/3ceDZOqxhA"
heyroshanna,"I am often baffled at how students are expected to traipse through adverse weather conditions in countries and areas prone to flood as though FOR THE LAST TWO YEARS WE DID NOT TRANSITION TO ONLINE LEARNING? 

YALL END THE GOOGLE CLASSROOM SUBSCRIPTION? https://t.co/WlhQPY2sHa"
zobjobsGB,"Customer Operations Executive at MyTutor
MyTutorMyTutor is the UKs leading online platform for onetoone learning and were on a mission to improve the educational outc...
#Operations #remoteml #mytutor
https://t.co/mCwuHtrtuW"
HiEdDanielle,"RT @UCalgary: Post-secondary can be a challenge for students with ADHD and other learning disabilities, two #UCalgary researchers say the s…"
stationmum101,"RT @VicGovAg: Want to learn more about foot-and-mouth disease?

Complete our free online learning module here: 
https://t.co/Fvy4TEJBgC

#F…"
