User,Tweet,Subjectivity,Polarity,Analysis
UUMcampusalert,"Network Outage in INASIS BSN

There is a network outage currently in INASIS BSN. Due to this problem, you are not able to access UUM Email, UUMWiFi, UUM Portal &amp; UUM Online Learning.

We will keep you updated on the situation.",0,0,Negative
orionastarmoon,"   The majority will suffer even kids, losing money, medical equipment unable to work, unable to cook, keep warm, online learning. EVERYTHING will be cut off and 3hrs is a long time when you’re cold, hungry, near death, losing money and behind on education 😤",1,0,Negative
akwfalcon1,"_Hurstman  As a teacher my assignments, etc were posted online&amp;unit summaries provided at the start of each unit. Parents could always ask questions, etc.Nothing was a  a parent I never felt that I was unaware of what my kids were learning",1,0,Neutral
Melissa22461016," All 50 states have their standards posted online. 

Maybe take personal responsibility and Google what your child is learning.",0,0,Neutral
GreigNicol1,"Timely online opportunity to update learning on clean sport. 
💊 
Relevant to athletes, support and medical staff. sportsmedicine ",1,0,Positive
carolhedgspeth,: The  is exploring the need for free or low-cost Universal PreKindergarten (UPK) curriculum and related resources…,0,0,Positive
BeYouEarly,"Be You Connected Communities are online spaces for educators to come together and explore ways to promote positive, inclusive and resilient learning communities. Each community is unique. Read more about them here:  ECAConference ",1,0,Positive
Terraphant,"  The students connected via an online learning platform &amp; it sounds like they got each other going &amp; created something of a mob (hence why a group petition). Some classes are just hard. They aren’t a “good” or fun experience but so what? These are adults, not kindergartners.",0,0,Positive
goldensoulshine,"That's something I picked up from an online course ""Learning How to Learn"". I don't have the notes with me.",0,0,Neutral
HikeBabyHike," to be honest...During C19 they had work-share where you unemployed 1 day/week and could still get the $600/week extra. Every dept but ours got it (we had to work all 5 days)
One co-worker stayed home to watch kids (kids online learning) he got the $600 for 4 months came back",0,0,Neutral
KiftSally,: Our  President _Cohen in  ‘s CMM T&amp;L series on why videos in online learning should be designed…,0,0,Neutral
ejs712,"dosenlife This is 1 of hardest assignments I’ve ever done so far.Had to make interactive learning video,microsite,&amp; learning content in Metaverse🤣For this university lecturers online learning certification by the Ministry of Education,I made them for International HR Management ",0,0,Neutral
cmu_nirajan,": freeCodeCamp is the best online course platform to start coding in Python.

The best part?

Everything is free on YouTu…",0,1,Positive
TheFakeZwoG,"  I do think there’s an entire generation that got messed up due to the ease of access to sexual material online. ED amongst young adult men is higher now than ever before, with online porn being the main cause

Learning for themselves, online, is not a good idea",0,0,Positive
Jo_BootsBoots,: Sask. to centralize online learning for 2023-24 school year ,0,0,Neutral
laurens_online,"_online: The fastest way to learn how to make more money is by learning from people who are making a lot of money

Not by readin…",1,1,Positive
iamjudeoseh,": Educate yourself Online for Free

1. Youtube
2. W3School
3. Coursera
4. Udemy
5. MDN
6. SkillShare
7. Edx
8. Udacity
9. L…",1,0,Positive
mccrickerd,"*just* understood that zoom school for many students would have involved lots of muted microphones &amp; off cameras &amp; students doing who knows what

I'm *profoundly* slow.

I'd only thought of how difficult online learning can be when everyone's doing their best.

profoundly slow.",1,0,Positive
Shabbychicforme,": That's For You Or For Your Muslim Friends &amp; Neighbors Looking For Qur'an, Tajweed, Arabic Online Courses.
",0,0,Neutral
CodeWithTwitchi,": EduVibe - Online Learning React Education Template


business classes clean corporate course…",0,0,Positive
AmandaYuill,": Get everything you need on reading to write, writing to read, and fostering a love of both in our new BOTM, …",1,0,Positive
BrknMan,      _net      _wrjohn1 _maric    _advice    _learning                   _warrior       All my bills are online.  No need to save them.,0,0,Neutral
javascriptd,": EduVibe - Online Learning React Education Template


business classes clean corporate course…",0,0,Positive
KirkwoodSmart,"_Style: FAQ: How do you cite PowerPoint slides? 
A: Use the template on p. 342 &amp; Example 102 in the 7thEdition APAStyle Publicatio…",0,0,Neutral
marewrew_m,": Event: Eiko Soga, Artist and Researcher at The Ruskin School of Art and , Research Associate _Rivers, sh…",0,0,Neutral
cwconbot,Ourselves Online' The Impact of Cyberspace The Discourse in the Future of Combining Service Learning? Gaming Work Students,0,0,Neutral
Preciousmbat,_NEWS I know it will continue... Rather than sit and fold your arms you better start learning ways to make money online,1,1,Positive
StAlbertLibrary,"Want to be excited to go into work each day? This online course and thousands more are free with your Library card on LinkedIn Learning. 
sapljobsupports ",1,0,Positive
greatone718,": Full Sail's education is delivered via immersive teaching methods, both on campus as well as through our online learning envi…",1,0,Positive
PlungingtonL,: Do you have a learning disability? Are you from a minority ethnic background? Would you share your experiences to help…,0,0,Neutral
MAS4America,"  Lockdowns harmed college students, teachers refused to return in person. Students learning from youtube, teachers in pj’s, drinking alcohol during class, etc. Organic chemistry without a lab? I would have dropped the class when it went online. The consequences of low expectations",0,0,Neutral
TheHelpGroup,"Code your own path at STEM3 Academy - offering a STEM-based education for K-12 students with social and learning differences, including ASD. Learn more about rolling admissions at the next online open house:  ",0,0,Positive
ShannahKH,": Full Sail's education is delivered via immersive teaching methods, both on campus as well as through our online learning envi…",1,0,Positive
x19ajustice,": Educate yourself Online for Free

1. Youtube
2. W3School
3. Coursera
4. Udemy
5. MDN
6. SkillShare
7. Edx
8. Udacity
9. L…",1,0,Positive
SignedKJV,"25 mins into an online course and realized I wasn't learning. 

Is this old age?
Also, my attention span is currently non-existent.",0,0,Positive
OokyPumpkussy,: please stop pretending like cartoons are a substitute for public education. kids should not be learning only from youtube o…,1,0,Neutral
FrDsign,Free online e-learning modules on sport for development and safeguarding in sport |  -  ,1,0,Positive
FullSail,"Full Sail's education is delivered via immersive teaching methods, both on campus as well as through our online learning environment, to prepare students for careers in entertainment, media, arts, and technology. Classes start October 24th.

Request info:  ",1,0,Positive
MLE_Online, I kind of wish I grew up in the era of learning typing on a typewriter. They're just so much more tactiley better,1,1,Positive
unescobangkok,: 📚 Young people’s RightToEducation can only be realized in learning environments free from HIV-related stigma &amp; discrimi…,1,0,Positive
widsteam,"Performance-based Learning Framework, a free WIDS online course and badge! Learn how the principles of performance-based learning can be applied to learning and assessment. Register any time!  ",1,1,Positive
ReadTechHere,": FEATURED COURSES
Complete Python Developer in 2022: Zero to Mastery
How to become a Python3 Developer and get hired
Build…",0,0,Positive
